"country","year","value","published","note","type"
"Brunei Darussalam",2005,3650,"2007 to 2009",NA,"total"
"Brunei Darussalam",2005,831,"2007 to 2009",NA,"unpaved"
"Brunei Darussalam",2008,2411,"2010 to 2011",NA,"paved"
"Brunei Darussalam",2008,2971,"2010 to 2011",NA,"total"
"Brunei Darussalam",2008,560,"2010 to 2011",NA,"unpaved"
"Brunei Darussalam",2010,2425,"2012 to 2017",NA,"paved"
"Brunei Darussalam",2010,3029,"2012 to 2017",NA,"total"
"Brunei Darussalam",2010,604,"2012 to 2017",NA,"unpaved"
"Brunei Darussalam",2014,2559,"2018 to 2023",NA,"paved"
"Brunei Darussalam",2014,2976,"2018 to 2023",NA,"total"
"Brunei Darussalam",2014,417,"2018 to 2023",NA,"unpaved"
"Bulgaria",2003,93855,"2006","including 328 km of expressways","paved"
"Bulgaria",2003,102016,"2006",NA,"total"
"Bulgaria",2003,8161,"2006",NA,"unpaved"
"Bulgaria",2004,43593,"2007","includes 333 km of expressways","paved"
"Bulgaria",2004,44033,"2007",NA,"total"
"Bulgaria",2004,440,"2007",NA,"unpaved"
"Bulgaria",2005,39587,"2008 to 2009","includes 331 km of expressways","paved"
"Bulgaria",2005,40231,"2008 to 2009",NA,"total"
"Bulgaria",2005,644,"2008 to 2009",NA,"unpaved"
"Bulgaria",2008,39587,"2010 to 2011","includes 418 km of expressways","paved"
"Bulgaria",2008,40231,"2010 to 2011",NA,"total"
"Bulgaria",2008,644,"2010 to 2011",NA,"unpaved"
"Bulgaria",2011,19235,"2012 to 2023","includes 458 km of expressways","paved"
"Bulgaria",2011,19235,"2012 to 2023",NA,"paved"
"Bulgaria",2011,19512,"2012 to 2023",NA,"total"
"Bulgaria",2011,277,"2012 to 2023",NA,"unpaved"
"Burkina Faso",1999,2001,"2006",NA,"paved"
"Burkina Faso",1999,12506,"2006",NA,"total"
"Burkina Faso",1999,10505,"2006",NA,"unpaved"
"Burkina Faso",2004,4766,"2007",NA,"paved"
"Burkina Faso",2004,3857,"2008 to 2011",NA,"paved"
"Burkina Faso",2004,15272,"2007",NA,"total"
"Burkina Faso",2004,92495,"2008 to 2011",NA,"total"
"Burkina Faso",2004,10506,"2007",NA,"unpaved"
"Burkina Faso",2004,88638,"2008 to 2011",NA,"unpaved"
"Burkina Faso",2010,15272,"2012 to 2018",NA,"total"
"Burkina Faso",2014,3642,"2019 to 2023",NA,"paved"
"Burkina Faso",2014,15304,"2019 to 2023",NA,"total"
"Burkina Faso",2014,11662,"2019 to 2023",NA,"unpaved"
"Burundi",1999,1028,"2006",NA,"paved"
"Burundi",1999,14480,"2006",NA,"total"
"Burundi",1999,13452,"2006",NA,"unpaved"
"Burundi",2004,1286,"2007 to 2016",NA,"paved"
"Burundi",2004,12322,"2007 to 2016",NA,"total"
"Burundi",2004,11036,"2007 to 2016",NA,"unpaved"
"Burundi",2016,1500,"2017 to 2023",NA,"paved"
"Burundi",2016,12322,"2017 to 2023",NA,"total"
"Burundi",2016,10822,"2017 to 2023",NA,"unpaved"
"Cabo Verde",2000,932,"2006 to 2013",NA,"paved"
"Cabo Verde",2000,1350,"2006 to 2013",NA,"total"
"Cabo Verde",2000,418,"2006 to 2013",NA,"unpaved"
"Cabo Verde",2013,932,"2014 to 2023",NA,"paved"
"Cabo Verde",2013,1350,"2014 to 2023",NA,"total"
"Cabo Verde",2013,418,"2014 to 2023",NA,"unpaved"
"Cambodia",2000,1996,"2006",NA,"paved"
"Cambodia",2000,12323,"2006",NA,"total"
"Cambodia",2000,10327,"2006",NA,"unpaved"
"Cambodia",2004,2406,"2007 to 2008",NA,"paved"
"Cambodia",2004,38257,"2007 to 2008",NA,"total"
"Cambodia",2004,35851,"2007 to 2008",NA,"unpaved"
"Cambodia",2007,2977,"2009 to 2011",NA,"paved"
"Cambodia",2007,38093,"2009 to 2011",NA,"total"
"Cambodia",2007,35116,"2009 to 2011",NA,"unpaved"
"Cambodia",2009,2492,"2012 to 2014",NA,"paved"
"Cambodia",2009,39618,"2012 to 2014",NA,"total"
"Cambodia",2009,37126,"2012 to 2014",NA,"unpaved"
"Cambodia",2010,3607,"2015 to 2018",NA,"paved"
"Cambodia",2010,44709,"2015 to 2018",NA,"total"
"Cambodia",2010,41102,"2015 to 2018",NA,"unpaved"
"Cambodia",2013,12239,"2019 to 2023",NA,"paved"
"Cambodia",2013,47263,"2019 to 2023",NA,"total"
